created,name,local_date,local_time,speakers,description,link,group_name
2022-03-07,Creating model en mass with workflowsets,2021-05-18,07:00:00 PM,Max Kuhn,,,SoCal R Users Group
2022-03-07,Column Names as Contracts,2021-04-27,07:00:00 PM,Emily Riederer,,,SoCal R Users Group
2022-03-07,R from the Command Line,2021-03-24,07:00:00 PM,James Lamb,,,SoCal R Users Group
2022-03-07,R in the Terminal - Survival Strategies,2021-03-24,07:00:00 PM,Neal Fultz,,,SoCal R Users Group
2022-03-07,Unified Data Applications with Shiny on Delta Lakes,2021-02-23,07:00:00 PM,Hossein Falaki,,,SoCal R Users Group
2022-03-07,The Download (Recent Updates in the R Markdown Family),2020-12-08,07:00:00 PM,Alison Hill,,,SoCal R Users Group
2022-03-07,Reproducible computation at scale in R with targets,2020-10-27,07:00:00 PM,Will Landau,,,SoCal R Users Group
2022-03-07,Bigger but local: Tools for uncomfortably big data,2020-09-22,07:00:00 PM,Edward Visel,,,SoCal R Users Group
2022-03-07,Dissecting a Function: Profiling and Benchmarking Your Way to Faster Code,2020-08-18,07:00:00 PM,Adam Austin,,,SoCal R Users Group
2022-03-07,Non-exhaustive list of lesser used base R features,2020-08-18,07:00:00 PM,Karolis Koncevičius,,,SoCal R Users Group
2022-03-07,Three Reasons to Use tidymodels,2020-06-30,07:00:00 PM,Julia Silge,,,SoCal R Users Group
2022-03-07,Making Tables with the gt Package,2020-05-27,07:00:00 PM,Rich Iannone,,,SoCal R Users Group
2022-03-07,Dynamic programming for machine learning: Hidden Markov Models,2020-05-27,07:00:00 PM,Avik Das,,,SoCal R Users Group
2022-03-07,Creating an R workshop experience during the ACS National Meeting,2020-04-23,07:00:00 PM,Donna Wrublewski,,,SoCal R Users Group
2022-03-07,vctrs: Creating custom vector classes with the vctrs package,2020-03-19,07:00:00 PM,Jesse Sadler,,,SoCal R Users Group
2022-03-07,Starter Guide to R Plumber + Slack,2020-03-19,07:00:00 PM,Emad Hasan,,,SoCal R Users Group
2022-03-07,Draw fractals from root finding iteration in R,2020-02-25,07:00:00 PM,Keren Xu,,,SoCal R Users Group
2022-03-07,Bracketball: Let's Explore March Madness with ncaahoopR,2020-02-25,07:00:00 PM,Luke Morris,,,SoCal R Users Group
2022-03-07,Web Applications: From HTML/JavaScript/CSS to Shiny,2019-12-09,07:00:00 PM,Nellie Ponarul,,,SoCal R Users Group
2022-03-07,Data Science Reporting: Tips and Tricks for useRs,2019-12-09,07:00:00 PM,Amy Tzu-Yu Chen,,,SoCal R Users Group
2022-03-07,To Stick or To Switch: Student Major Changes at UCLA,2019-10-24,07:00:00 PM,"Jeanette Lin & Keith Atienza, The Stack",,,SoCal R Users Group
2022-03-07,Analyzing Denzel Curry’s Lyrics Through Text Mining,2019-10-24,07:00:00 PM,"Nikhil Sharma & Raghava Govil, Datares",,,SoCal R Users Group
2022-03-07,A gentle Introduction Using R for Deep Learning,2019-10-14,07:00:00 PM,Charlotte Deng,,,SoCal R Users Group
2022-03-07,reticulate: running Python within RStudio,2019-10-14,07:00:00 PM,Jo Hardin,,,SoCal R Users Group
2022-03-07,Functional programming with purrr,2019-09-26,07:00:00 PM,Malcolm Barrett,,,SoCal R Users Group
2022-03-07,Creating custom vector classes with the vctrs package,2019-09-09,07:00:00 PM,Jesse Sadler,,,SoCal R Users Group
